Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Participant,Color,Tracking Ratio [%],Category Group,Index Right,Index Left,Pupil Diameter Right [mm],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Port Status,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content,groupe d'enfants,AOI Group Right,AOI Scope Right,AOI Order Right,AOI Group Left,AOI Scope Left,AOI Order Binocular
88890,205550.251,11:03:53:640,Trial014,15 devant.png,25,DarkBlue,77.1213,Eye,4,4,3.6543,3.8975,568.0147985628593,504.4817985057349,593.6887535685402,450.3997761705448,White Space,White Space,-0.0487,0.1228,-0.9912,0.1329,0.1769,-0.9752,0,-,-,-,-,-,-,-,-,,,,,,,
88894,205617.121,11:03:53:707,Trial014,15 devant.png,25,DarkBlue,77.1213,Eye,4,5,3.6693,3.9245,571.3179301048762,471.0902339618445,590.9248827096018,494.67607052230557,White Space,White Space,-0.0401,0.0929,-0.9949,0.1369,0.1148,-0.9839,0,-,-,-,-,-,-,-,-,,,,,,,
88898,205683.99,11:03:53:774,Trial014,15 devant.png,25,DarkBlue,77.1213,Eye,4,5,3.6757,3.9374,575.9282507984225,503.53052127046215,590.6390190301952,493.86410582027594,White Space,White Space,-0.0538,0.076,-0.9957,0.1356,0.1214,-0.9833,0,-,-,-,-,-,-,-,-,,,,,,,
88902,205750.86,11:03:53:841,Trial014,15 devant.png,25,DarkBlue,77.1213,Eye,-,5,3.6887,3.9346,569.7580306247933,511.6133862339716,594.9583000206745,430.0619520246685,White Space,White Space,-0.0539,0.0657,-0.9964,0.1452,0.0932,-0.985,0,-,-,-,-,-,-,-,-,,,,,,,
88906,205817.73,11:03:53:908,Trial014,15 devant.png,25,DarkBlue,77.1213,Eye,2,2,0,0,491.38647450431705,448.67004435998825,510.28667655122797,440.83576804769774,White Space,White Space,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,,,,,,,
88910,205884.599,11:03:53:975,Trial014,15 devant.png,25,DarkBlue,77.1213,Eye,2,2,0,0,432.62123098501183,428.7488456032318,446.79638252019504,405.4576253686648,White Space,White Space,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,,,,,,,
88914,205951.469,11:03:54:042,Trial014,15 devant.png,25,DarkBlue,77.1213,Eye,5,6,3.6809,3.9103,480.9103016894535,413.5859725677293,492.3880271515805,393.37260417865247,White Space,White Space,-0.0036,0.3919,-0.92,0.1598,0.3949,-0.9047,0,-,-,-,-,-,-,-,-,,,,,,,
95463,206001.621,11:03:54:091,Trial015,16 voc chat G.png,25,DarkBlue,67.1834,Eye,-,-,3.669,3.8839,519.1452732301178,412.6637248326743,528.1564438489289,386.3963927135233,White Space,White Space,0.0011,0.3606,-0.9327,0.1681,0.3712,-0.9132,0,-,-,-,-,-,-,-,-,,,,,,,
95467,206068.491,11:03:54:158,Trial015,16 voc chat G.png,25,DarkBlue,67.1834,Eye,1,1,0,0,453.44236319030216,393.6449735234718,460.20074115441037,424.5645630379396,White Space,White Space,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,,,,,,,
95471,206135.276,11:03:54:224,Trial015,16 voc chat G.png,25,DarkBlue,67.1834,Eye,1,1,0,3.8893,404.20891789798384,389.77293354911325,505.99359124078177,278.2520624937532,White Space,White Space,0,0,0,0.1777,0.3561,-0.9174,0,-,-,-,-,-,-,-,-,,,,,,,
95475,206202.062,11:03:54:291,Trial015,16 voc chat G.png,25,DarkBlue,67.1834,Eye,1,1,3.6822,3.9067,460.2218028362064,377.76666315750936,539.9919763528104,364.62790157455333,White Space,White Space,0.0164,0.3566,-0.9341,0.1832,0.3552,-0.9167,0,-,-,-,-,-,-,-,-,,,,,,,
95479,206268.847,11:03:54:358,Trial015,16 voc chat G.png,25,DarkBlue,67.1834,Eye,1,1,3.6938,3.9351,506.78917172646493,343.73949510173014,568.1874557299718,307.3826247254272,White Space,White Space,0.0295,0.3466,-0.9375,0.1914,0.3561,-0.9146,0,-,-,-,-,-,-,-,-,,,,,,,
95483,206335.633,11:03:54:425,Trial015,16 voc chat G.png,25,DarkBlue,67.1834,Eye,1,1,3.7109,3.9701,544.5559799075066,415.6788016528733,589.8399096505063,371.2815021541124,White Space,White Space,0.034,0.3497,-0.9362,0.1942,0.3504,-0.9163,0,-,-,-,-,-,-,-,-,,,,,,,
95487,206402.418,11:03:54:492,Trial015,16 voc chat G.png,25,DarkBlue,67.1834,Eye,1,1,3.7228,4.0038,560.7669595721676,439.5369156164728,604.4011347581002,417.88794257864754,White Space,White Space,0.0297,0.3483,-0.9369,0.1876,0.3533,-0.9165,0,-,-,-,-,-,-,-,-,,,,,,,
95491,206469.203,11:03:54:558,Trial015,16 voc chat G.png,25,DarkBlue,67.1834,Eye,1,1,3.7224,4.0198,576.3999716013117,346.28452554643263,608.1612959853146,475.20030341153426,White Space,White Space,0.0373,0.3429,-0.9386,0.1964,0.3485,-0.9165,0,-,-,-,-,-,-,-,-,,,,,,,
95495,206535.989,11:03:54:625,Trial015,16 voc chat G.png,25,DarkBlue,67.1834,Eye,2,2,3.7224,4.0293,607.4605531911469,354.36609503054433,632.0075495660253,408.2081007622197,White Space,White Space,0.0631,0.3435,-0.937,0.2243,0.342,-0.9126,0,-,-,-,-,-,-,-,-,,,,,,,
95499,206602.774,11:03:54:692,Trial015,16 voc chat G.png,25,DarkBlue,67.1834,Eye,2,2,3.7093,4.0204,636.1948968024737,411.7509054853775,643.9918328768781,387.3378594632389,White Space,White Space,0.0603,0.3385,-0.939,0.2147,0.3426,-0.9146,0,-,-,-,-,-,-,-,-,,,,,,,
95503,206669.56,11:03:54:759,Trial015,16 voc chat G.png,25,DarkBlue,67.1834,Eye,2,2,3.6926,4.0082,652.2709183559338,406.19980519621635,651.1036884021695,416.6046182494063,White Space,White Space,0.0512,0.3467,-0.9366,0.217,0.348,-0.912,0,-,-,-,-,-,-,-,-,,,,,,,
95507,206736.345,11:03:54:826,Trial015,16 voc chat G.png,25,DarkBlue,67.1834,Eye,2,2,3.6667,3.9904,659.8141974681494,365.0980009719876,657.7533387202955,368.0352189656129,White Space,White Space,0.0506,0.3467,-0.9366,0.2131,0.348,-0.9129,0,-,-,-,-,-,-,-,-,,,,,,,
95511,206803.131,11:03:54:892,Trial015,16 voc chat G.png,25,DarkBlue,67.1834,Eye,2,2,3.6588,3.9771,668.8554944744193,338.7780734894549,660.9479828264866,404.2451231593029,White Space,White Space,0.0466,0.3527,-0.9346,0.2066,0.3484,-0.9143,0,-,-,-,-,-,-,-,-,,,,,,,
95515,206869.916,11:03:54:959,Trial015,16 voc chat G.png,25,DarkBlue,67.1834,Eye,2,2,3.6355,3.9561,670.1304902768469,338.3614370855282,670.4517151458027,394.6406346021499,White Space,White Space,0.0297,0.3447,-0.9382,0.199,0.3478,-0.9162,0,-,-,-,-,-,-,-,-,,,,,,,
