Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Participant,Color,Tracking Ratio [%],Category Group,Index Right,Index Left,Pupil Diameter Right [mm],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Port Status,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content,AOI Group Right,AOI Scope Right,AOI Order Right,AOI Group Left,AOI Scope Left,AOI Order Binocular,groupe d'enfants
30804,2738143.118,18:10:03:736,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,81,78,,,760.4865279014945,339.401762573309,759.8252395786072,343.4283004243093,-,-,0.0082,0.2265,-0.974,-0.017,0.2128,-0.977,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30808,2738209.9,18:10:03:802,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,81,78,,,755.505784868705,294.3044704354328,755.6870408608904,291.00560327566984,-,-,0.0094,0.2251,-0.9743,-0.0138,0.2142,-0.9767,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30812,2738276.681,18:10:03:869,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,81,78,,,755.1980740270977,339.0995933416982,741.4134951632248,252.30388444132532,-,-,0.01,0.2308,-0.973,-0.0204,0.2122,-0.977,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30816,2738343.462,18:10:03:936,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,81,78,,,747.3354559367565,391.73964394397336,737.8894524599569,397.1462622988168,-,-,0.0147,0.2227,-0.9748,-0.0158,0.2188,-0.9756,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30820,2738410.243,18:10:04:003,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,81,78,,,752.5861659840268,339.74266729427495,731.6975231909224,372.37234825005265,-,-,0.0238,0.2205,-0.9751,-0.007,0.2195,-0.9756,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30824,2738477.024,18:10:04:069,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,81,78,,,758.1365183565282,302.09668711882574,728.5565404344891,346.31177140346733,-,-,0.0245,0.2195,-0.9753,0.0015,0.2194,-0.9756,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30828,2738543.805,18:10:04:136,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,81,78,,,758.7953877525841,334.6084988738431,729.3040396083616,376.80922409321846,-,-,0.0182,0.224,-0.9744,0.0051,0.2185,-0.9758,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30832,2738610.587,18:10:04:203,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,81,78,,,763.765612651709,419.9061641726744,726.0252797220028,366.09828285904985,-,-,0.0294,0.2205,-0.975,0.0001,0.2139,-0.9769,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30836,2738677.368,18:10:04:270,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,17,20,,,636.7958531970371,428.98823023447085,608.4906034997573,362.70240658064444,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30840,2738744.153,18:10:04:337,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,17,20,,,541.5689465505586,314.35371243582347,520.3400092775987,356.3140518642307,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30844,2738810.949,18:10:04:403,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,17,-,,,470.16415284697604,258.5442686284173,665.9991902529407,326.6341541120518,-,-,0.21,0.2211,-0.9524,0.1935,0.2203,-0.956,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30848,2738877.746,18:10:04:470,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,17,-,,,416.63112600363814,302.2408487579475,563.5074040581115,349.85240503702505,-,-,0.2164,0.2195,-0.9513,0.1961,0.2231,-0.9548,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30852,2738944.542,18:10:04:537,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,17,-,,,376.4915325076519,286.1463086590718,486.64874104850696,356.7842916257159,-,-,0.2181,0.2268,-0.9492,0.2012,0.2237,-0.9537,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30856,2739011.303,18:10:04:604,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,64,-,,,541.8828822891957,334.1621130620988,626.5767504754388,293.0210923272674,-,-,0.1683,0.2302,-0.9585,0.1543,0.2157,-0.9642,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30860,2739078.063,18:10:04:670,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,82,79,,,592.2985507976524,304.9380817587817,649.331152904383,330.1279211168586,-,-,0.0182,0.2223,-0.9748,-0.0065,0.2215,-0.9751,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30864,2739144.824,18:10:04:737,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,82,79,,,631.5031919462999,307.8836468426178,673.1223729123644,271.62355406229756,-,-,0.0171,0.232,-0.9726,-0.0064,0.2183,-0.9759,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30868,2739211.585,18:10:04:804,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,82,79,,,656.4132242951783,325.69072088425577,691.1395251657317,203.01119168417955,-,-,0.0187,0.2273,-0.9737,-0.0032,0.2187,-0.9758,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30872,2739278.345,18:10:04:871,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,82,79,,,679.8453203704605,349.8820001927658,700.0627533277855,329.7796884899053,-,-,0.0096,0.2295,-0.9733,-0.0098,0.2221,-0.975,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30876,2739345.106,18:10:04:938,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,82,79,,,694.7664050855766,287.41505225385004,707.080002980159,354.4295812035891,-,-,0.0164,0.2203,-0.9753,0.0055,0.2229,-0.9748,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30880,2739411.866,18:10:05:004,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,82,79,,,708.1345827795998,386.48679887388613,715.7138528037165,384.01308497600456,-,-,0.019,0.2248,-0.9742,0.0047,0.2142,-0.9768,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30884,2739478.627,18:10:05:071,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,82,79,,,721.5200628416192,348.5369694296319,724.5479819364085,354.9436378104159,-,-,0.0162,0.2161,-0.9762,0.0024,0.2129,-0.9771,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30888,2739545.388,18:10:05:138,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,82,79,,,728.9339533536669,335.22956666639396,727.9215909571244,376.3686325578796,-,-,0.0189,0.221,-0.9751,-0.0013,0.2139,-0.9769,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30892,2739612.141,18:10:05:205,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,82,79,,,728.9983716665286,376.28853330941735,725.4438441201111,340.6737523026861,-,-,0.0158,0.2236,-0.9746,0.0027,0.22,-0.9755,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30896,2739678.886,18:10:05:271,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,82,79,,,729.5537681144184,263.1812999761852,733.450191223663,383.0833077251088,-,-,0.0016,0.2271,-0.9739,-0.016,0.2154,-0.9764,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30900,2739745.631,18:10:05:338,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,82,79,,,730.380040011029,357.399136691299,737.5372853454774,362.2055349062846,-,-,0.0063,0.2331,-0.9724,-0.0053,0.2197,-0.9756,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30904,2739812.388,18:10:05:405,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,82,79,,,734.201387632629,378.7350510391822,721.4797311511614,337.50127047725096,-,-,0.0101,0.2279,-0.9736,-0.0122,0.2171,-0.9761,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30908,2739879.158,18:10:05:472,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,82,79,,,733.8674786202347,351.7399082415302,725.4624589607276,346.7771401564811,-,-,0.0057,0.2235,-0.9747,-0.0069,0.2142,-0.9768,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30912,2739945.928,18:10:05:538,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,18,21,,,614.4844838112078,382.97689024439296,608.1807190665775,350.2277616606023,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30916,2740012.698,18:10:05:605,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,18,21,,,524.9425471867713,289.12926774874984,520.2147236282985,289.5103805758843,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30920,2740079.468,18:10:05:672,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,83,80,,,565.5914971618605,423.04570504174643,563.0677324892991,340.5864618175723,-,-,0.0056,0.209,-0.9779,-0.0047,0.2032,-0.9791,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30924,2740146.238,18:10:05:739,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,83,80,,,604.6112434857685,410.68059801393224,605.0830247282569,328.2059819886142,-,-,-0.0035,0.2086,-0.978,-0.0077,0.1968,-0.9804,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30928,2740213.008,18:10:05:805,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,83,80,,,631.6434667642316,313.7349102287553,635.614761460267,329.0935313347434,-,-,0.0077,0.2121,-0.9772,-0.0069,0.2085,-0.978,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30932,2740279.777,18:10:05:872,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,83,80,,,651.9185572005593,279.5431005904968,654.5010995891032,340.58394908045835,-,-,0.0082,0.2129,-0.977,-0.0063,0.2029,-0.9792,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30936,2740346.547,18:10:05:939,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,83,80,,,671.4268445763057,399.4811553448241,682.719073416686,333.19797239585597,-,-,0.0007,0.2156,-0.9765,-0.0084,0.2043,-0.9789,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30940,2740413.317,18:10:06:006,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,83,80,,,682.7971064780322,327.85500510960804,695.700430995483,321.5485535331094,-,-,0.0026,0.2154,-0.9765,-0.0048,0.202,-0.9794,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30944,2740480.119,18:10:06:073,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,83,80,,,697.0337564939207,369.88285556693006,702.6826606262897,364.75261247967364,-,-,0.0067,0.2185,-0.9758,-0.0024,0.214,-0.9768,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30948,2740546.932,18:10:06:139,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,83,80,,,703.0256695723806,329.2711658066389,706.5960110469675,390.72388200087306,-,-,0.0103,0.2266,-0.9739,-0.0116,0.2178,-0.9759,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30952,2740613.745,18:10:06:206,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,83,80,,,703.9363467410082,294.881451545581,714.966289154692,390.6735910429949,-,-,0.0059,0.2211,-0.9752,-0.0067,0.2201,-0.9755,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30956,2740680.55,18:10:06:273,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,83,80,,,707.2641803139508,436.41034175428337,717.9631866627969,374.37171829742266,-,-,0.0069,0.2255,-0.9742,-0.01,0.217,-0.9761,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30960,2740747.355,18:10:06:340,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,83,80,,,720.3050906393172,384.30669448004835,717.8282421959001,372.39382452738664,-,-,0.0096,0.2289,-0.9734,-0.0076,0.2156,-0.9764,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30964,2740814.161,18:10:06:407,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,83,80,,,723.3745809040279,371.8749452087339,728.8121513544093,400.5393718182711,-,-,0.0285,0.2192,-0.9753,0.0148,0.2167,-0.9761,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30968,2740880.966,18:10:06:473,Trial019,Eye Tracking (ballon droite).avi,58,DarkKhaki,86.4867,Eye,83,80,,,728.6075375971448,351.9265256529659,723.0064208326917,335.00211789914,-,-,0.0243,0.2266,-0.9737,0.0011,0.2191,-0.9757,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
