Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Participant,Color,Tracking Ratio [%],Category Group,Index Right,Index Left,Pupil Diameter Right [mm],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Port Status,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content,AOI Group Right,AOI Scope Right,AOI Order Right,AOI Group Left,AOI Scope Left,AOI Order Binocular
73215,3231239.539,17:23:05:236,Trial019,Eye Tracking (ballon droite).avi,57,MediumSlateBlue,98.0899,Eye,38,36,,,889.9030097946502,293.41308523762643,877.1802176759259,347.2875505656285,-,-,0.2572,0.3277,-0.9091,0.2597,0.2896,-0.9212,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73219,3231306.35,17:23:05:303,Trial019,Eye Tracking (ballon droite).avi,57,MediumSlateBlue,98.0899,Eye,39,37,,,821.9376451460917,332.0809627503821,810.8887351816611,323.34331232836894,-,-,0.0548,0.3336,-0.9411,0.0578,0.2979,-0.9529,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73223,3231373.152,17:23:05:370,Trial019,Eye Tracking (ballon droite).avi,57,MediumSlateBlue,98.0899,Eye,39,37,,,770.2704101752545,361.6317469782579,757.7853329664757,290.7523566095816,-,-,0.0617,0.3358,-0.9399,0.0641,0.2947,-0.9534,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73227,3231439.926,17:23:05:437,Trial019,Eye Tracking (ballon droite).avi,57,MediumSlateBlue,98.0899,Eye,39,37,,,734.6755189954839,375.6464663280185,716.5198928438957,271.7394321779691,-,-,0.052,0.3365,-0.9403,0.0635,0.2954,-0.9533,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73231,3231506.701,17:23:05:504,Trial019,Eye Tracking (ballon droite).avi,57,MediumSlateBlue,98.0899,Eye,39,37,,,705.2806668497353,348.125705518447,689.7100962937424,435.08747381349855,-,-,0.0537,0.3371,-0.94,0.0613,0.2996,-0.9521,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73235,3231573.468,17:23:05:570,Trial019,Eye Tracking (ballon droite).avi,57,MediumSlateBlue,98.0899,Eye,39,37,,,677.2908027847769,328.53569641058976,667.8231373292683,337.81938394245293,-,-,0.0579,0.3341,-0.9408,0.0561,0.2944,-0.954,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73239,3231640.214,17:23:05:637,Trial019,Eye Tracking (ballon droite).avi,57,MediumSlateBlue,98.0899,Eye,40,37,,,662.9504147236244,296.48682674705384,647.7087646999038,346.3968242760386,-,-,0.0467,0.3399,-0.9393,0.0556,0.3043,-0.9509,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73243,3231706.959,17:23:05:704,Trial019,Eye Tracking (ballon droite).avi,57,MediumSlateBlue,98.0899,Eye,40,37,,,652.9767144450627,332.0059503458116,637.8897391151706,321.27891625582373,-,-,0.0442,0.3418,-0.9387,0.0481,0.2999,-0.9527,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73247,3231773.705,17:23:05:771,Trial019,Eye Tracking (ballon droite).avi,57,MediumSlateBlue,98.0899,Eye,40,37,,,648.8201531123237,356.59611792009974,626.1755758792061,395.48376089250416,-,-,0.0446,0.3425,-0.9385,0.0457,0.2985,-0.9533,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73251,3231840.451,17:23:05:837,Trial019,Eye Tracking (ballon droite).avi,57,MediumSlateBlue,98.0899,Eye,40,37,,,645.8078135634483,294.9207093015329,624.7703263165713,352.6634336204668,-,-,0.0413,0.3408,-0.9392,0.0524,0.3027,-0.9517,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73255,3231907.197,17:23:05:904,Trial019,Eye Tracking (ballon droite).avi,57,MediumSlateBlue,98.0899,Eye,40,37,,,633.8835744643798,433.1344565455231,608.0467995045691,347.71571193534817,-,-,0.0415,0.3396,-0.9397,0.0548,0.3032,-0.9514,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73259,3231973.943,17:23:05:971,Trial019,Eye Tracking (ballon droite).avi,57,MediumSlateBlue,98.0899,Eye,40,37,,,629.3500594107408,375.2388486287355,602.0102275604506,352.93600431349074,-,-,0.0379,0.3385,-0.9402,0.0528,0.303,-0.9515,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73263,3232040.689,17:23:06:038,Trial019,Eye Tracking (ballon droite).avi,57,MediumSlateBlue,98.0899,Eye,40,37,,,628.1411378524011,387.40322074272865,607.7565399815156,365.6510160066932,-,-,0.0441,0.3375,-0.9403,0.0562,0.3026,-0.9515,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73267,3232107.435,17:23:06:104,Trial019,Eye Tracking (ballon droite).avi,57,MediumSlateBlue,98.0899,Eye,40,37,,,626.7825042936948,326.0767877194593,604.5238200581841,394.10811003520706,-,-,0.0458,0.3422,-0.9385,0.0562,0.3017,-0.9518,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73271,3232174.181,17:23:06:171,Trial019,Eye Tracking (ballon droite).avi,57,MediumSlateBlue,98.0899,Eye,40,37,,,627.2297419980798,336.7062838154565,603.7721188921855,324.1166627366446,-,-,0.0446,0.333,-0.9419,0.0538,0.2962,-0.9536,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73275,3232240.942,17:23:06:238,Trial019,Eye Tracking (ballon droite).avi,57,MediumSlateBlue,98.0899,Eye,40,37,,,624.0605458416,309.45853879341234,608.3289685357998,362.8016893426157,-,-,0.0455,0.3436,-0.938,0.0591,0.3051,-0.9505,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73279,3232307.709,17:23:06:305,Trial019,Eye Tracking (ballon droite).avi,57,MediumSlateBlue,98.0899,Eye,40,37,,,621.0629404613311,328.544544465263,602.6220683416961,371.69140660347705,-,-,0.0434,0.3407,-0.9392,0.0492,0.3031,-0.9517,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73283,3232374.476,17:23:06:371,Trial019,Eye Tracking (ballon droite).avi,57,MediumSlateBlue,98.0899,Eye,40,37,,,616.4800715090171,391.11113158733446,603.9329883610822,263.81077548390067,-,-,0.0459,0.3383,-0.9399,0.0607,0.3072,-0.9497,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73287,3232441.258,17:23:06:438,Trial019,Eye Tracking (ballon droite).avi,57,MediumSlateBlue,98.0899,Eye,40,37,,,616.5846882872241,296.657203636556,608.7100902618233,297.27892288583587,-,-,0.0468,0.3361,-0.9407,0.0517,0.3052,-0.9509,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73291,3232508.055,17:23:06:505,Trial019,Eye Tracking (ballon droite).avi,57,MediumSlateBlue,98.0899,Eye,40,37,,,616.9961289306676,321.71902584875625,606.0969538902035,334.573971004924,-,-,0.0412,0.3415,-0.939,0.0524,0.3011,-0.9522,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73295,3232574.852,17:23:06:572,Trial019,Eye Tracking (ballon droite).avi,57,MediumSlateBlue,98.0899,Eye,40,37,,,615.6957158757523,362.1245070831189,611.9811819039724,349.76285706618944,-,-,0.0447,0.3404,-0.9392,0.0498,0.3044,-0.9512,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73299,3232641.649,17:23:06:638,Trial019,Eye Tracking (ballon droite).avi,57,MediumSlateBlue,98.0899,Eye,40,37,,,612.9742341536114,464.6726051378611,609.054950002501,383.46730786614705,-,-,0.0386,0.3413,-0.9392,0.0558,0.3049,-0.9508,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73303,3232708.446,17:23:06:705,Trial019,Eye Tracking (ballon droite).avi,57,MediumSlateBlue,98.0899,Eye,40,37,,,611.3979098366658,435.85038608611364,603.2157361080538,278.82932258126084,-,-,0.043,0.3439,-0.938,0.0502,0.3052,-0.951,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73307,3232775.243,17:23:06:772,Trial019,Eye Tracking (ballon droite).avi,57,MediumSlateBlue,98.0899,Eye,40,37,,,618.8363099647671,347.76868990015384,601.2260516894385,325.97925068460097,-,-,0.0452,0.3385,-0.9399,0.0542,0.3043,-0.951,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73311,3232842.04,17:23:06:839,Trial019,Eye Tracking (ballon droite).avi,57,MediumSlateBlue,98.0899,Eye,40,37,,,621.539684624348,336.62602639172167,604.3088500185341,280.88831305221555,-,-,0.0385,0.3458,-0.9375,0.0537,0.301,-0.9521,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73315,3232908.837,17:23:06:906,Trial019,Eye Tracking (ballon droite).avi,57,MediumSlateBlue,98.0899,Eye,40,37,,,621.8203476085429,350.8568674931281,598.3358716900842,353.747629481984,-,-,0.0433,0.3381,-0.9401,0.0569,0.3024,-0.9515,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73319,3232975.634,17:23:06:972,Trial019,Eye Tracking (ballon droite).avi,57,MediumSlateBlue,98.0899,Eye,40,37,,,623.8839546547837,347.16171457976947,601.0378764604385,342.6822486979456,-,-,0.0373,0.3385,-0.9402,0.0533,0.3033,-0.9514,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73323,3233042.428,17:23:07:039,Trial019,Eye Tracking (ballon droite).avi,57,MediumSlateBlue,98.0899,Eye,40,37,,,617.3860627150369,333.6724470616646,596.9532924910109,365.67185885317497,-,-,0.0443,0.3468,-0.9369,0.0501,0.2991,-0.9529,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73327,3233109.214,17:23:07:106,Trial019,Eye Tracking (ballon droite).avi,57,MediumSlateBlue,98.0899,Eye,40,37,,,619.5032098530434,358.8425442018576,592.8447042567412,392.7821067536645,-,-,0.0455,0.3413,-0.9389,0.0587,0.3037,-0.951,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73331,3233175.999,17:23:07:173,Trial019,Eye Tracking (ballon droite).avi,57,MediumSlateBlue,98.0899,Eye,40,37,,,622.0330316443457,360.9967501725535,588.1265089681634,428.114958114724,-,-,0.0429,0.3417,-0.9388,0.0469,0.296,-0.954,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
